Entity,Code,Year,Share of the daily calorie supply that comes from animal protein,GDP per capita,900793-annotations,Population (historical),World regions according to OWID,time,time,time,time
Libya,LBY,2022,5.4697967,12755.204,,7223757,Africa,2022,2023,2022,2022
Lithuania,LTU,2022,10.025301,30863.32,,2816872,Europe,2022,2023,2022,2022
Luxembourg,LUX,2022,8.667216,55484.777,,653267,Europe,2022,2023,2022,2022
Madagascar,MDG,2022,1.057308,1367.0938,,30437216,Africa,2022,2023,2022,2022
Malawi,MWI,2022,2.624777,1190.0509,,20568683,Africa,2022,2023,2022,2022
Malaysia,MYS,2022,7.246695,26628.707,,34695445,Asia,2022,2023,2022,2022
Mali,MLI,2022,1.4052329,1651.9413,,23072588,Africa,2022,2023,2022,2022
Malta,MLT,2022,6.9301558,34496.34,,528148,Europe,2022,2023,2022,2022
Mauritania,MRT,2022,4.1889143,3680.3662,,4875590,Africa,2022,2023,2022,2022
Mauritius,MUS,2022,6.387451,20643.094,,1276075,Africa,2022,2023,2022,2022
Mexico,MEX,2022,6.9301605,16235.455,,128613066,North America,2022,2023,2022,2022
Moldova,MDA,2022,5.3310995,6674.871,,3039946,Europe,2022,2023,2022,2022
Mongolia,MNG,2022,12.933518,13442.906,,3385971,Asia,2022,2023,2022,2022
Montenegro,MNE,2022,8.818097,20941.805,,614603,Europe,2022,2023,2022,2022
Morocco,MAR,2022,3.4208992,8400.127,,37329012,Africa,2022,2023,2022,2022
Mozambique,MOZ,2022,1.6817331,1087.836,,32656190,Africa,2022,2023,2022,2022
Myanmar,MMR,2022,3.2331958,5177.4326,,53756739,Asia,2022,2023,2022,2022
Namibia,NAM,2022,3.674719,7979.328,,2889626,Africa,2022,2023,2022,2022
Nepal,NPL,2022,2.3024902,3013.5178,,29715383,Asia,2022,2023,2022,2022
Netherlands,NLD,2022,9.132229,49669.867,,17904367,Europe,2022,2023,2022,2022
New Zealand,NZL,2022,7.7628446,38250.12,,5131680,Oceania,2022,2023,2022,2022
Nicaragua,NIC,2022,4.422917,5092.8413,,6730618,North America,2022,2023,2022,2022
Niger,NER,2022,1.365198,1007.72095,,25311922,Africa,2022,2023,2022,2022
Nigeria,NGA,2022,1.116881,5070.4927,,223150851,Africa,2022,2023,2022,2022
North Korea,PRK,2022,2.3774474,1668.5446,,26328793,Asia,2022,2023,2018,2018
North Macedonia,MKD,2022,4.9667425,14050.995,,1840196,Europe,2022,2023,2022,2022
Norway,NOR,2022,7.9325447,88366.22,,5456753,Europe,2022,2023,2022,2022
